Title,Author,Category,Format,ISBN,Publication Year,Date Read
Do Androids Dream of Electric Sheep?,Philip K. Dick,Fiction,BOOK,9780345404473,1996-05-28,NULL
Altered Carbon,Richard K. Morgan,Fiction,BOOK,9780345457684,2003-03-04,NULL
The Eye of the World,Robert Jordan,Fiction,BOOK,9781250251466,2019-10-29,NULL
The Great Hunt,Robert Jordan,Fiction,BOOK,9781250251480,2019-10-29,NULL
The Dragon Reborn,Robert Jordan,Fiction,BOOK,9781250251497,2019-10-29,NULL
Scythe,Neal Shusterman,Juvenile Fiction,BOOK,9781442472433,2017-11-28,NULL
Thunderhead,Neal Shusterman,Young Adult Fiction,BOOK,9781442472464,2019-06-04,NULL
The Toll,Neal Shusterman,Juvenile Fiction,BOOK,9781481497077,2020-11-03,NULL
Gleanings,Neal Shusterman,Young Adult Fiction,BOOK,9781534499980,2023-11-07,NULL
Allegiance: Star Wars Legends,Timothy Zahn,Fiction,BOOK,9780345477392,2007-12-26,NULL
Yoda: Dark Rendezvous: Star Wars Legends,Sean Stewart,Fiction,BOOK,9780345463098,2004-11-23,NULL
Choices of One: Star Wars Legends,Timothy Zahn,Fiction,BOOK,9780345511263,2012-06-26,NULL
Red Harvest: Star Wars Legends,Joe Schreiber,Fiction,BOOK,9780345518590,2012-02-28,NULL
Shatterpoint: Star Wars Legends,Matthew Stover,Fiction,BOOK,9780345455741,2004-04-27,NULL
Lockdown: Star Wars Legends (Maul),Joe Schreiber,Fiction,BOOK,9780345509048,2015-01-27,NULL
The Force Unleashed: Star Wars Legends,Sean Williams,Fiction,BOOK,9780345502858,2009-08-25,NULL
"I, Jedi: Star Wars Legends",Michael A. Stackpole,Fiction,BOOK,9780553578737,1999-06-01,NULL
Tarkin: Star Wars,James Luceno,Fiction,BOOK,9780553392906,2015-06-30,NULL
The History of the Decline and Fall of the Roman Empire,Edward Gibbon,History,BOOK,9781853264993,1998,NULL
A History of the Vikings,Gwyn Jones,History,BOOK,9780192801340,2001,NULL
The Jewish War,Flavius Josephus,History,BOOK,9780140444209,1984-02-07,NULL
The Jewish War,Betty Radice,History,BOOK,9780140444209,1984-02-07,NULL
A History of Japan,R. H. P. Mason,History,BOOK,9780804820974,1997-11-15,NULL
A History of Japan,J. G. Caiger,History,BOOK,9780804820974,1997-11-15,NULL
Perfume,Patrick Suskind,Fiction,BOOK,9780375725845,2001-02-13,NULL
The Count of Monte Cristo,Alexandre Dumas,Fiction,BOOK,9781593081515,2004-10,NULL
Leviathan Wakes,James S.A. Corey,Fiction,BOOK,9780316129084,2011-06-15,NULL
Caliban's War,James S. A. Corey,Fiction,BOOK,9780316129060,2012-06-26,NULL
Abaddon's Gate,James S. A. Corey,Fiction,BOOK,9780316129077,2013-06-04,NULL
Mistborn,Brandon Sanderson,Fiction,BOOK,9781250318541,2019-09-24,NULL
The Well of Ascension,Brandon Sanderson,Fiction,BOOK,9781250318572,2019-10-29,NULL
The Hero of Ages,Brandon Sanderson,Fiction,BOOK,9781250318626,2019-11-26,NULL
The Lord of the Rings,John Ronald Reuel Tolkien,Fiction,BOOK,9780618260256,2002,NULL
A History of God,Karen Armstrong,Religion,BOOK,9780345384560,1994-08-09,NULL
The Last Wish,Andrzej Sapkowski,Fiction,BOOK,9780316438964,2017-07-18,NULL
The Histories,Herodotus,Fiction,BOOK,9781593081027,2004,NULL
The Trial and Death of Socrates (Third Edition),Plato,Philosophy,BOOK,9780872205543,2000-01-01,NULL
The Trial and Death of Socrates (Third Edition),George Maximilian Anthony Grube,Philosophy,BOOK,9780872205543,2000-01-01,NULL
The Trial and Death of Socrates (Third Edition),John Madison Cooper,Philosophy,BOOK,9780872205543,2000-01-01,NULL
Hitler's Empire,Mark Mazower,History,BOOK,9780143116103,2009-08-25,NULL
A Distant Mirror,Barbara W. Tuchman,History,BOOK,9780345349576,1987-07-12,NULL
The Book of Lost Tales: Part One,J.R.R. Tolkien,Fiction,BOOK,9780345375216,1992-04-22,NULL
The Book of Lost Tales: Part Two,J.R.R. Tolkien,Fiction,BOOK,9780345375223,1992-04-22,NULL
The Lays of Beleriand,J.R.R. Tolkien,Fiction,BOOK,9780345388186,1994-08-29,NULL
